Player,Pos,stats_link,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Jonathan Adams,WR,https://www.sports-reference.com/cfb/players/jonathan-adams-jr-1.html,6-2,210,4.59,39.0,,132,7.04,4.38,
Paulson Adebo,CB,https://www.sports-reference.com/cfb/players/paulson-adebo-1.html,6-1,198,4.45,36.5,18,121,6.69,4.13,New Orleans Saints / 3rd / 76th pick / 2021
Paulson Adebo,TE,https://www.sports-reference.com/cfb/players/giles-amos-1.html,6-3,250,5.14,28.5,,111,7.65,5.13,
Paulson Adebo,LB,https://www.sports-reference.com/cfb/players/zayne-anderson-1.html,,,4.46,34.0,11,120,6.78,4.22,
Paulson Adebo,RB,https://www.sports-reference.com/cfb/players/otis-anderson-1.html,5-7,179,4.63,36.0,11,113,7.04,4.38,
Jack Anderson,OL,https://www.sports-reference.com/cfb/players/jack-anderson-3.html,6-4,314,5.28,29.5,27,105,7.90,4.83,Buffalo Bills / 7th / 236th pick / 2021
Jack Anderson,DT,https://www.sports-reference.com/cfb/players/dan-archibong-1.html,6-5,295,5.35,28.5,28,100,8.16,4.68,
Calvin Ashley,OL,https://www.sports-reference.com/cfb/players/dan-archibong-1.html,6-6,314,5.49,29.0,15,105,7.00,5.10,
Calvin Ashley,DB,https://www.sports-reference.com/cfb/players/jaytlin-askew-1.html,5-8,180,4.51,35.5,18,125,7.10,4.31,
Tutu Atwell,WR,https://www.sports-reference.com/cfb/players/chatarius-atwell-1.html,5-8,155,4.42,33.0,,117,6.89,4.14,Los Angeles Rams / 2nd / 57th pick / 2021
Kayode Awosika,OL,https://www.sports-reference.com/cfb/players/kayode-awosika-1.html,6-3,307,5.19,30.0,28,100,8.15,4.91,
Kayode Awosika,WR,https://www.sports-reference.com/cfb/players/kawaan-baker-1.html,6-0,210,4.44,39.5,21,129,7.42,4.41,
Josh Ball,OL,https://www.sports-reference.com/cfb/players/josh-ball-1.html,6-7,308,5.20,27.5,28,106,7.77,4.70,Dallas Cowboys / 4th / 138th pick / 2021
Aaron Banks,OL,https://www.sports-reference.com/cfb/players/aaron-banks-4.html,6-5,325,5.32,31.0,24,100,7.69,4.89,San Francisco 49ers / 2nd / 48th pick / 2021
Aaron Banks,OL,https://www.sports-reference.com/cfb/players/cole-banwart-1.html,6-1,298,5.12,27.5,22,103,7.50,4.70,
Christian Barmore,DL,https://www.sports-reference.com/cfb/players/christian-barmore-1.html,6-4,310,4.93,,,,,,New England Patriots / 2nd / 38th pick / 2021
Derrick Barnes,DE,https://www.sports-reference.com/cfb/players/derrick-barnes-2.html,6-0,238,4.57,37.0,29,119,,4.27,Detroit Lions / 4th / 113th pick / 2021
Carlos Basham,DL,https://www.sports-reference.com/cfb/players/carlos-basham-jr-1.html,6-3,274,4.64,34.0,20,122,7.13,4.25,Buffalo Bills / 2nd / 61st pick / 2021
Rashod Bateman,WR,https://www.sports-reference.com/cfb/players/rashod-bateman-1.html,6-0,190,4.39,36.0,,123,,,Baltimore Ravens / 1st / 27th pick / 2021
Rashod Bateman,TE,https://www.sports-reference.com/cfb/players/john-bates-1.html,6-5,250,4.84,31.5,19,120,6.85,4.35,
Rashod Bateman,LS,https://www.sports-reference.com/cfb/players/adam-bay-1.html,5-11,240,5.27,26.0,14,100,7.65,4.56,
Tavante Beckett,LB,https://www.sports-reference.com/cfb/players/tavante-beckett-1.html,5-10,220,4.78,31.0,18,106,7.34,4.58,
Tavante Beckett,OL,https://www.sports-reference.com/cfb/players/chase-behrndt-1.html,6-3,324,5.55,24.5,25,101,8.21,4.93,
Shaun Beyer,TE,https://www.sports-reference.com/cfb/players/shaun-beyer-1.html,6-4,250,4.78,31.5,,119,,4.20,
Tarik Black,WR,https://www.sports-reference.com/cfb/players/tarik-black-1.html,6-2,213,4.54,40.0,15,132,6.91,4.26,
Tarik Black,WR,https://www.sports-reference.com/cfb/players/josh-blancato-1.html,5-9,182,4.55,32.0,17,124,6.90,4.31,
Joshuah Bledsoe,S,https://www.sports-reference.com/cfb/players/joshuah-bledsoe-1.html,,,,,,,,,New England Patriots / 6th / 188th pick / 2021
Joshuah Bledsoe,DL,https://www.sports-reference.com/cfb/players/quinton-bohanna-1.html,6-4,327,5.46,29.0,,99,8.21,5.15,
Nick Bolton,LB,https://www.sports-reference.com/cfb/players/nick-bolton-1.html,5-11,237,4.60,32.0,24,,7.40,4.50,Kansas City Chiefs / 2nd / 58th pick / 2021
Ian Book,QB,https://www.sports-reference.com/cfb/players/ian-book-1.html,6-0,211,4.65,32.5,,115,6.99,4.19,New Orleans Saints / 4th / 133rd pick / 2021
Dicaprio Bootle,CB,https://www.sports-reference.com/cfb/players/dicaprio-bootle-1.html,5-9,180,4.38,36.5,16,126,6.77,4.03,
Tuf Borland,LB,https://www.sports-reference.com/cfb/players/tuf-borland-1.html,6-0,229,4.98,32.5,15,109,7.17,4.29,
Larry Borom,OL,https://www.sports-reference.com/cfb/players/larry-borom-1.html,6-5,322,5.12,31.0,,,,,Chicago Bears / 5th / 151st pick / 2021
Rakeem Boyd,RB,https://www.sports-reference.com/cfb/players/rakeem-boyd-2.html,5-11,213,4.70,32.5,6,98,7.22,4.38,
Rakeem Boyd,DL,https://www.sports-reference.com/cfb/players/michael-boykin-1.html,6-5,291,4.88,32.0,24,110,7.69,4.58,
William Bradley-King,OLB,https://www.sports-reference.com/cfb/players/william-bradley-king-1.html,6-3,252,4.74,34.5,,119,7.14,4.26,Washington Football Team / 7th / 240th pick / 2021
Brady Breeze,S,https://www.sports-reference.com/cfb/players/brady-breeze-1.html,5-11,197,4.55,38.0,20,120,7.05,4.22,Tennessee Titans / 6th / 215th pick / 2021
Gary Brightwell,RB,https://www.sports-reference.com/cfb/players/gary-brightwell-1.html,5-10,218,4.62,34.5,17,118,7.51,4.48,New York Giants / 6th / 196th pick / 2021
K.J. Britt,LB,https://www.sports-reference.com/cfb/players/kj-britt-1.html,6-0,235,4.76,32.5,24,118,7.38,4.40,Tampa Bay Buccaneers / 5th / 176th pick / 2021
K.J. Britt,DL,https://www.sports-reference.com/cfb/players/josiah-bronson-1.html,6-2,304,5.08,30.0,27,101,7.63,4.72,
K.J. Britt,DB,https://www.sports-reference.com/cfb/players/chris-brown-18.html,5-10,191,4.55,36.0,15,118,6.85,4.18,
K.J. Britt,DE,https://www.sports-reference.com/cfb/players/earnest-brown-iv-1.html,6-4,270,5.01,31.0,25,115,7.19,4.50,
K.J. Britt,CB,https://www.sports-reference.com/cfb/players/kimere-brown-1.html,5-11,175,4.57,32.5,,124,7.37,4.32,
Deonte Brown,OL,https://www.sports-reference.com/cfb/players/deonte-brown-1.html,6-3,344,,27.0,,,,,Carolina Panthers / 6th / 193rd pick / 2021
Dyami Brown,WR,https://www.sports-reference.com/cfb/players/dyami-brown-1.html,6-0,189,4.46,35.0,18,128,6.87,4.35,Washington Football Team / 3rd / 82nd pick / 2021
Shakur Brown,CB,https://www.sports-reference.com/cfb/players/shakur-brown-1.html,5-9,185,4.61,35.5,17,116,7.08,4.23,
Tre Brown,CB,https://www.sports-reference.com/cfb/players/tre-brown-2.html,5-9,185,4.42,38.0,13,123,7.11,4.27,Seattle Seahawks / 4th / 137th pick / 2021
Amon-Ra St. Brown,WR,https://www.sports-reference.com/cfb/players/amon-ra-st-brown-1.html,5-11,197,4.51,38.5,20,127,6.88,4.17,Detroit Lions / 4th / 112th pick / 2021
Baron Browning,LB,https://www.sports-reference.com/cfb/players/baron-browning-1.html,6-2,245,4.58,40.0,23,130,6.78,4.23,Denver Broncos / 3rd / 105th pick / 2021
Baron Browning,OL,https://www.sports-reference.com/cfb/players/john-brunner-2.html,6-2,194,,32.5,11,121,6.77,4.30,
Baron Browning,OL,https://www.sports-reference.com/cfb/players/john-brunner-2.html,6-2,194,,32.5,11,121,6.77,4.30,
Baron Browning,LB,https://www.sports-reference.com/cfb/players/calvin-bundage-1.html,6-1,221,4.81,31.5,14,116,7.31,4.43,
Lorenzo Burns,CB,https://www.sports-reference.com/cfb/players/lorenzo-burns-1.html,5-10,183,4.56,33.5,14,123,7.55,4.51,
Eric Burrell,S,https://www.sports-reference.com/cfb/players/eric-burrell-1.html,5-11,197,4.73,35.5,8,124,7.21,4.26,
Eric Burrell,LS,https://www.sports-reference.com/cfb/players/wesley-burris-1.html,5-9,203,5.30,30.0,12,102,7.51,4.74,
Eric Burrell,OL,https://www.sports-reference.com/cfb/players/jake-burton-1.html,6-5,303,5.49,26.0,22,100,8.22,4.97,
Camryn Bynum,CB,https://www.sports-reference.com/cfb/players/camryn-bynum-1.html,6-0,196,4.58,34.0,,129,6.99,4.10,Minnesota Vikings / 4th / 125th pick / 2021
Camryn Bynum,WR,https://www.sports-reference.com/cfb/players/jalen-camp-1.html,6-1,226,4.48,39.5,29,125,7.00,4.14,
Camryn Bynum,OL,https://www.sports-reference.com/cfb/players/donavaughn-campbell-1.html,6-4,336,5.62,22.0,,93,8.34,5.15,
Kyree Campbell,DL,https://www.sports-reference.com/cfb/players/kyree-campbell-1.html,6-2,287,5.46,25.0,,98,7.96,5.02,
Tyson Campbell,DB,https://www.sports-reference.com/cfb/players/tyson-campbell-1.html,6-1,193,4.40,34.5,12,124,7.15,4.45,Jacksonville Jaguars / 2nd / 33rd pick / 2021
Tyson Campbell,K,https://www.sports-reference.com/cfb/players/joseph-carlson-1.html,6-0,175,,,,,,,
Jackson Carman,OT,https://www.sports-reference.com/cfb/players/jackson-carman-1.html,6-4,317,,,,,,,Cincinnati Bengals / 2nd / 46th pick / 2021
Jackson Carman,FB,https://www.sports-reference.com/cfb/players/tory-carter-1.html,6-0,229,4.86,35.5,24,112,7.21,4.38,
Michael Carter,RB,https://www.sports-reference.com/cfb/players/michael-carter-5.html,5-7,201,4.50,34.0,16,119,6.81,3.98,New York Jets / 4th / 107th pick / 2021
Michael Carter,TE,https://www.sports-reference.com/cfb/players/jc-chalk-1.html,6-2,250,5.18,28.5,15,106,7.83,4.72,
Ja'Marr Chase,WR,https://www.sports-reference.com/cfb/players/jamarr-chase-1.html,6-0,201,4.34,41.0,,132,6.96,3.99,Cincinnati Bengals / 1st / 5th pick / 2021
Ja'Marr Chase,WR,https://www.sports-reference.com/cfb/players/ramaud-chiaokhiao-bowman-1.html,6-1,204,4.78,34.5,11,119,6.78,4.20,
Drue Chrisman,P,https://www.sports-reference.com/cfb/players/dru-chrisman-1.html,6-2,209,,,,,,,
Brady Christensen,OL,https://www.sports-reference.com/cfb/players/brady-christensen-1.html,,,,34.0,30,124,,,Carolina Panthers / 3rd / 70th pick / 2021
Andre Cisco,DB,https://www.sports-reference.com/cfb/players/andre-cisco-1.html,,,,,17,,,,Jacksonville Jaguars / 3rd / 65th pick / 2021
Andre Cisco,CB,https://www.sports-reference.com/cfb/players/mallory-claybourne-1.html,5-9,191,4.57,33.0,12,116,7.37,4.32,
Ben Cleveland,OL,https://www.sports-reference.com/cfb/players/ben-cleveland-2.html,6-6,343,5.05,28.0,30,102,,4.88,Baltimore Ravens / 3rd / 94th pick / 2021
Ben Cleveland,LB,https://www.sports-reference.com/cfb/players/riley-cole-1.html,6-2,240,4.72,,26,,7.46,4.35,
Nico Collins,WR,https://www.sports-reference.com/cfb/players/nico-collins-1.html,6-4,215,4.43,37.5,14,125,6.78,4.29,Houston Texans / 3rd / 89th pick / 2021
Zaven Collins,LB,https://www.sports-reference.com/cfb/players/zaven-collins-1.html,6-4,259,4.67,35.0,19,122,,4.36,Arizona Cardinals / 1st / 16th pick / 2021
Zaven Collins,P,https://www.sports-reference.com/cfb/players/nolan-cooney-1.html,6-2,195,,,,,,,
Jonathon Cooper,DE,https://www.sports-reference.com/cfb/players/jonathon-cooper-1.html,6-2,253,4.69,33.0,28,108,6.99,4.31,Denver Broncos / 7th / 239th pick / 2021
Samuel Cosmi,OL,https://www.sports-reference.com/cfb/players/samuel-cosmi-1.html,6-5,314,4.87,30.0,36,117,7.35,4.39,Washington Football Team / 2nd / 51st pick / 2021
Samuel Cosmi,S,https://www.sports-reference.com/cfb/players/seth-cottengim-1.html,5-11,230,,28.5,,,,,
Jabril Cox,LB,https://www.sports-reference.com/cfb/players/jabril-cox-1.html,6-3,232,,,,,,,Dallas Cowboys / 4th / 115th pick / 2021
Damonte Coxie,WR,https://www.sports-reference.com/cfb/players/damonte-coxie-1.html,6-2,198,4.77,30.5,4,122,6.92,4.45,
Damonte Coxie,LB,https://www.sports-reference.com/cfb/players/tyler-coyle-1.html,6-1,209,4.38,39.0,24,133,7.14,4.00,
Damonte Coxie,K,https://www.sports-reference.com/cfb/players/jack-crane-1.html,6-1,193,,,,,,,
Damonte Coxie,TE,https://www.sports-reference.com/cfb/players/daniel-crawford-1.html,6-1,245,4.70,32.5,14,113,7.19,4.45,
Damonte Coxie,S,https://www.sports-reference.com/cfb/players/shaun-crawford-1.html,5-9,182,4.55,35.0,12,116,6.70,4.13,
Damonte Coxie,OL,https://www.sports-reference.com/cfb/players/harry-crider-1.html,6-2,307,5.25,27.0,31,102,7.63,4.68,
Damonte Coxie,OL,https://www.sports-reference.com/cfb/players/jake-curhan-1.html,6-5,316,5.45,24.0,15,102,8.07,4.84,
David Curry,LB,https://www.sports-reference.com/cfb/players/david-curry-1.html,6-1,227,,,,,,,
Drew Dalman,C,https://www.sports-reference.com/cfb/players/drew-dalman-1.html,6-3,299,5.11,33.0,33,109,7.33,4.52,Atlanta Falcons / 4th / 114th pick / 2021
DJ Daniel,DB,https://www.sports-reference.com/cfb/players/dj-daniel-2.html,5-11,195,4.62,31.0,11,119,7.02,4.12,
Frank Darby,WR,https://www.sports-reference.com/cfb/players/frank-darby-1.html,6-0,201,4.56,34.5,19,117,7.05,4.25,Atlanta Falcons / 6th / 187th pick / 2021
Jaelon Darden,WR,https://www.sports-reference.com/cfb/players/jaelon-darden-1.html,5-7,174,4.47,35.5,,122,6.66,3.98,Tampa Bay Buccaneers / 4th / 129th pick / 2021
Corey Dauphine,RB,https://www.sports-reference.com/cfb/players/corey-dauphine-1.html,5-11,198,4.71,30.0,14,117,7.40,4.53,
Corey Dauphine,TE,https://www.sports-reference.com/cfb/players/corey-dauphine-1.html,6-6,245,4.58,37.5,17,117,6.95,4.19,
Corey Dauphine,QB,https://www.sports-reference.com/cfb/players/brady-davis-2.html,,,4.65,31.0,,114,7.06,4.20,
Jamin Davis,LB,https://www.sports-reference.com/cfb/players/jamin-davis-1.html,6-3,234,4.47,42.0,,132,,,Washington Football Team / 1st / 19th pick / 2021
Shawn Davis,DB,https://www.sports-reference.com/cfb/players/shawn-davis-3.html,5-10,202,,39.5,17,128,,,Indianapolis Colts / 5th / 165th pick / 2021
Wyatt Davis,OL,https://www.sports-reference.com/cfb/players/wyatt-davis-1.html,6-3,315,,,25,,,,Minnesota Vikings / 3rd / 86th pick / 2021
Divine Deablo,DB,https://www.sports-reference.com/cfb/players/divine-deablo-1.html,6-3,226,4.42,34.0,19,126,7.12,4.40,Las Vegas Raiders / 3rd / 80th pick / 2021
Divine Deablo,RB,https://www.sports-reference.com/cfb/players/bryson-denley-1.html,5-7,189,4.56,27.5,13,110,7.25,4.57,
Divine Deablo,RB,https://www.sports-reference.com/cfb/players/bryson-denley-1.html,5-7,189,4.56,27.5,13,110,7.25,4.57,
Divine Deablo,OL,https://www.sports-reference.com/cfb/players/jon-dietzen-1.html,6-4,312,5.32,27.0,19,106,7.64,4.85,
Victor Dimukeje,DE,https://www.sports-reference.com/cfb/players/victor-dimukeje-1.html,6-1,262,4.87,34.5,28,115,7.25,4.35,Arizona Cardinals / 6th / 210th pick / 2021
Victor Dimukeje,LS,https://www.sports-reference.com/cfb/players/brett-dioguardi-1.html,6-3,234,5.48,24.5,,98,7.88,4.95,
Victor Dimukeje,RB,https://www.sports-reference.com/cfb/players/gerrid-doaks-1.html,5-11,228,4.58,39.5,19,120,7.20,4.27,
Victor Dimukeje,P,https://www.sports-reference.com/cfb/players/max-duffy-1.html,6-0,196,,,,,,,
Victor Dimukeje,WR,https://www.sports-reference.com/cfb/players/devontres-dukes-1.html,6-3,216,4.81,33.0,16,122,7.07,4.41,
Victor Dimukeje,K,https://www.sports-reference.com/cfb/players/keith-duncan-1.html,,176,,,,,,,
Victor Dimukeje,DB,https://www.sports-reference.com/cfb/players/isaiah-dunn-1.html,5-11,189,4.39,35.5,13,127,6.93,4.21,
Victor Dimukeje,DB,https://www.sports-reference.com/cfb/players/wes-dvorak-1.html,5-11,198,4.52,41.5,,132,6.94,4.33,
Brennan Eagles,WR,https://www.sports-reference.com/cfb/players/brennan-eagles-1.html,6-3,225,4.55,36.5,,125,6.93,4.42,
Adrian Ealy,OL,https://www.sports-reference.com/cfb/players/adrian-ealy-1.html,6-6,321,5.42,24.5,18,104,8.82,4.87,
Adrian Ealy,DB,https://www.sports-reference.com/cfb/players/brandin-echols-1.html,5-10,179,4.34,42.5,13,136,6.84,4.12,
Sam Ehlinger,QB,https://www.sports-reference.com/cfb/players/sam-ehlinger-1.html,6-1,220,4.84,36.5,,114,7.15,4.44,Indianapolis Colts / 6th / 218th pick / 2021
Liam Eichenberg,OL,https://www.sports-reference.com/cfb/players/liam-eichenberg-1.html,6-6,306,,26.5,33,105,7.53,4.58,Miami Dolphins / 2nd / 42nd pick / 2021
Liam Eichenberg,LB,https://www.sports-reference.com/cfb/players/milo-eifler-1.html,6-2,228,4.58,37.5,14,126,7.15,4.35,
D'Wayne Eskridge,WR,https://www.sports-reference.com/cfb/players/dwayne-eskridge-1.html,5-8,190,4.38,35.0,,124,6.93,4.22,Seattle Seahawks / 2nd / 56th pick / 2021
Dorian Etheridge,LB,https://www.sports-reference.com/cfb/players/dorian-etheridge-1.html,6-1,233,4.87,35.0,,121,7.25,4.47,
Travis Etienne,RB,https://www.sports-reference.com/cfb/players/travis-etienne-1.html,5-10,215,4.45,33.5,18,128,,,Jacksonville Jaguars / 1st / 25th pick / 2021
Chris Evans,RB,https://www.sports-reference.com/cfb/players/chris-evans-2.html,5-11,211,4.50,40.5,20,127,6.83,4.12,Cincinnati Bengals / 6th / 202nd pick / 2021
Chris Evans,DL,https://www.sports-reference.com/cfb/players/dillon-faamatau-1.html,6-3,280,5.35,24.5,22,100,8.58,5.15,
Austin Faoliu,DT,https://www.sports-reference.com/cfb/players/austin-faoliu-1.html,6-3,287,,,,,,,
Austin Faoliu,OL,https://www.sports-reference.com/cfb/players/matt-farniok-1.html,6-5,311,5.20,33.0,28,105,7.14,4.80,
Luke Farrell,TE,https://www.sports-reference.com/cfb/players/luke-farrell-1.html,6-5,251,4.79,36.5,22,118,7.14,4.36,Jacksonville Jaguars / 5th / 145th pick / 2021
Simi Fehoko,WR,https://www.sports-reference.com/cfb/players/simi-fehoko-1.html,6-3,222,4.44,34.5,16,120,6.78,4.26,Dallas Cowboys / 5th / 179th pick / 2021
Demetric Felton,RB,https://www.sports-reference.com/cfb/players/demetric-felton-1.html,5-8,189,4.55,,,,,,Cleveland Browns / 6th / 211th pick / 2021
Demetric Felton,OT,https://www.sports-reference.com/cfb/players/parker-ferguson-1.html,6-3,306,5.19,31.0,24,105,7.75,4.90,
Justin Fields,QB,https://www.sports-reference.com/cfb/players/justin-fields-2.html,6-2,227,4.45,,,,,,Chicago Bears / 1st / 11th pick / 2021
Tony Fields,LB,https://www.sports-reference.com/cfb/players/tony-fields-ii-1.html,6-0,222,4.64,34.0,17,114,7.15,4.48,Cleveland Browns / 5th / 153rd pick / 2021
Paddy Fisher,LB,https://www.sports-reference.com/cfb/players/paddy-fisher-1.html,6-3,240,4.91,31.5,20,110,7.00,4.47,
Dez Fitzpatrick,WR,https://www.sports-reference.com/cfb/players/dez-fitzpatrick-1.html,6-1,208,4.43,35.0,,,7.09,4.26,Tennessee Titans / 4th / 109th pick / 2021
Dez Fitzpatrick,LS,https://www.sports-reference.com/cfb/players/thomas-fletcher-1.html,,,,,,,,,
Paris Ford,DB,https://www.sports-reference.com/cfb/players/paris-ford-1.html,6-0,197,4.85,28.5,,110,7.44,4.45,
Darrick Forrest,S,https://www.sports-reference.com/cfb/players/darrick-forrest-1.html,5-11,206,4.42,39.0,21,132,6.91,4.23,Washington Football Team / 5th / 163rd pick / 2021
Miller Forristall,TE,https://www.sports-reference.com/cfb/players/miller-forristall-1.html,,,,,,,,,
Stone Forsythe,OL,https://www.sports-reference.com/cfb/players/stone-forsythe-1.html,6-8,307,5.14,27.5,25,103,7.47,4.65,Seattle Seahawks / 6th / 208th pick / 2021
Feleipe Franks,QB,https://www.sports-reference.com/cfb/players/feleipe-franks-1.html,6-6,234,4.61,32.5,,117,7.16,4.22,
Pat Freiermuth,TE,https://www.sports-reference.com/cfb/players/pat-freiermuth-1.html,6-5,251,,,26,,,,Pittsburgh Steelers / 2nd / 55th pick / 2021
Will Fries,OL,https://www.sports-reference.com/cfb/players/will-fries-1.html,6-6,309,5.37,31.0,24,115,7.77,4.53,Indianapolis Colts / 7th / 248th pick / 2021
Jake Funk,RB,https://www.sports-reference.com/cfb/players/jake-funk-1.html,5-10,204,4.49,38.0,22,122,6.71,4.12,Los Angeles Rams / 7th / 233rd pick / 2021
Kenneth Gainwell,RB,https://www.sports-reference.com/cfb/players/kenny-gainwell-1.html,,201,4.42,,21,,,,Philadelphia Eagles / 5th / 150th pick / 2021
Kenneth Gainwell,WR,https://www.sports-reference.com/cfb/players/bailey-gaither-1.html,6-0,188,4.45,31.0,9,121,7.07,4.39,
Kenneth Gainwell,LB,https://www.sports-reference.com/cfb/players/blake-gallagher-1.html,5-11,228,4.83,31.5,27,107,7.23,4.40,
Mark Gilbert,CB,https://www.sports-reference.com/cfb/players/mark-gilbert-1.html,6-0,186,4.47,36.0,13,130,7.05,4.37,
Tyree Gillespie,S,https://www.sports-reference.com/cfb/players/tyree-gillespie-1.html,,,4.38,,15,,7.06,,Las Vegas Raiders / 4th / 143rd pick / 2021
Chauncey Golston,DL,https://www.sports-reference.com/cfb/players/chauncey-golston-1.html,6-4,269,4.79,36.0,,119,7.52,4.65,Dallas Cowboys / 3rd / 84th pick / 2021
Tay Gowan,DB,https://www.sports-reference.com/cfb/players/tay-gowan-1.html,6-0,186,4.44,35.5,13,118,6.88,4.25,Arizona Cardinals / 6th / 223rd pick / 2021
Ta'Quon Graham,DL,https://www.sports-reference.com/cfb/players/taquon-graham-1.html,6-3,292,4.89,32.5,32,113,7.31,4.68,Atlanta Falcons / 5th / 148th pick / 2021
Richie Grant,DB,https://www.sports-reference.com/cfb/players/richie-grant-1.html,5-11,197,4.49,34.5,12,129,6.78,4.27,Atlanta Falcons / 2nd / 40th pick / 2021
Noah Gray,TE,https://www.sports-reference.com/cfb/players/noah-gray-1.html,6-3,240,4.55,35.0,15,115,6.83,4.37,Kansas City Chiefs / 5th / 162nd pick / 2021
Kendrick Green,OL,https://www.sports-reference.com/cfb/players/kendrick-green-1.html,6-1,305,4.89,35.5,25,119,7.79,4.67,Pittsburgh Steelers / 3rd / 87th pick / 2021
Kendrick Green,OL,https://www.sports-reference.com/cfb/players/kendrick-green-1.html,6-1,305,4.89,35.5,25,119,7.79,4.67,Pittsburgh Steelers / 3rd / 87th pick / 2021
Trevon Grimes,WR,https://www.sports-reference.com/cfb/players/trevon-grimes-1.html,6-4,220,4.49,35.0,15,118,6.98,4.28,
Trevon Grimes,RB,https://www.sports-reference.com/cfb/players/garrett-groshek-1.html,5-11,217,4.64,33.5,17,115,7.08,4.32,
